B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B21, Blotteritem, {'type': 'Trade', 'time': 522.7999999997105, 'price': 103.0, 'party1': 'S21', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 551.1249999998136, 'price': 103.0, 'party1': 'S21', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 608.6750000000229, 'price': 103.0, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B22, 18
B22, Blotteritem, {'type': 'Trade', 'time': 24.649999999999135, 'price': 105, 'party1': 'B22', 'party2': 'S18', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 52.80000000000344, 'price': 105, 'party1': 'B22', 'party2': 'S17', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 88.6750000000116, 'price': 105, 'party1': 'B22', 'party2': 'S17', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 115.88750000001778, 'price': 96, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 155.92499999999512, 'price': 105, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 207.22499999994847, 'price': 103, 'party1': 'B22', 'party2': 'S11', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 217.06249999993952, 'price': 103, 'party1': 'B22', 'party2': 'S01', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 270.0624999998913, 'price': 103, 'party1': 'B22', 'party2': 'S09', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 311.8624999998533, 'price': 101, 'party1': 'B22', 'party2': 'S16', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 314.6374999998508, 'price': 98, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 357.99999999981134, 'price': 103, 'party1': 'B22', 'party2': 'S13', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 386.8749999997851, 'price': 97, 'party1': 'B22', 'party2': 'S12', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 413.29999999976104, 'price': 105, 'party1': 'B22', 'party2': 'S21', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 447.06249999973033, 'price': 103, 'party1': 'B22', 'party2': 'S17', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 485.21249999969564, 'price': 105, 'party1': 'B22', 'party2': 'S12', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 543.537499999786, 'price': 102, 'party1': 'B22', 'party2': 'S09', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 565.2124999998648, 'price': 104, 'party1': 'B22', 'party2': 'S11', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 598.8624999999872, 'price': 104, 'party1': 'B22', 'party2': 'S17', 'qty': 1}
B23, 21
B23, Blotteritem, {'type': 'Trade', 'time': 28.96249999999889, 'price': 108.0, 'party1': 'B23', 'party2': 'S11', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 35.84999999999959, 'price': 108.0, 'party1': 'B23', 'party2': 'S13', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 69.22500000000717, 'price': 108.0, 'party1': 'B23', 'party2': 'S09', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 110.37500000001653, 'price': 106.97099999999986, 'party1': 'S22', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 143.81250000000614, 'price': 108.0, 'party1': 'B23', 'party2': 'S13', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 157.09999999999405, 'price': 107, 'party1': 'S03', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 183.74999999996982, 'price': 105.98099999999991, 'party1': 'S04', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 223.37499999993378, 'price': 101.98899999999995, 'party1': 'S06', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 246.27499999991295, 'price': 102, 'party1': 'S03', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 275.52499999988635, 'price': 108.0, 'party1': 'B23', 'party2': 'S17', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 316.599999999849, 'price': 102.99799999999999, 'party1': 'S06', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 331.03749999983586, 'price': 108.0, 'party1': 'B23', 'party2': 'S17', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 373.0874999997976, 'price': 101.99099999999996, 'party1': 'S04', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 402.28749999977106, 'price': 108.0, 'party1': 'B23', 'party2': 'S02', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 451.9374999997259, 'price': 104, 'party1': 'S16', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 482.34999999969824, 'price': 108.0, 'party1': 'B23', 'party2': 'S16', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 499.5749999996826, 'price': 108.0, 'party1': 'B23', 'party2': 'S01', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 532.8124999997469, 'price': 101, 'party1': 'S18', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 544.7374999997903, 'price': 104.99499999999998, 'party1': 'S20', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 585.8624999999399, 'price': 103.0, 'party1': 'S21', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 622.0875000000717, 'price': 106, 'party1': 'S18', 'party2': 'B23', 'qty': 1}
B24, 19
B24, Blotteritem, {'type': 'Trade', 'time': 20.449999999999374, 'price': 107, 'party1': 'B24', 'party2': 'S14', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 52.37500000000335, 'price': 108, 'party1': 'B24', 'party2': 'S19', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 97.5000000000136, 'price': 108, 'party1': 'B24', 'party2': 'S16', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 114.15000000001739, 'price': 97, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 127.90000000002051, 'price': 105, 'party1': 'B24', 'party2': 'S19', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 194.78749999995978, 'price': 104, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 218.97499999993778, 'price': 102.99699999999999, 'party1': 'S00', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 226.59999999993084, 'price': 98, 'party1': 'S16', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 265.2249999998957, 'price': 100, 'party1': 'B24', 'party2': 'S13', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 281.2999999998811, 'price': 105, 'party1': 'B24', 'party2': 'S02', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 333.58749999983354, 'price': 108, 'party1': 'B24', 'party2': 'S18', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 343.2249999998248, 'price': 104, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 382.17499999978935, 'price': 100, 'party1': 'B24', 'party2': 'S09', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 402.362499999771, 'price': 108, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 431.4624999997445, 'price': 103.98999999999995, 'party1': 'S20', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 472.7999999997069, 'price': 108, 'party1': 'B24', 'party2': 'S18', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 496.924999999685, 'price': 103, 'party1': 'B24', 'party2': 'S17', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 557.9374999998383, 'price': 107, 'party1': 'B24', 'party2': 'S02', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 599.3249999999889, 'price': 103, 'party1': 'B24', 'party2': 'S01', 'qty': 1}
B25, 21
B25, Blotteritem, {'type': 'Trade', 'time': 27.36249999999898, 'price': 108.001, 'party1': 'B25', 'party2': 'S17', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 47.82500000000231, 'price': 106.00200000000001, 'party1': 'B25', 'party2': 'S08', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 88.52500000001156, 'price': 105.00200000000001, 'party1': 'B25', 'party2': 'S11', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 137.12500000001222, 'price': 108.00900000000004, 'party1': 'B25', 'party2': 'S10', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 147.21250000000305, 'price': 107.00500000000002, 'party1': 'B25', 'party2': 'S11', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 171.1124999999813, 'price': 101.00200000000001, 'party1': 'B25', 'party2': 'S11', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 200.17499999995488, 'price': 103.00400000000002, 'party1': 'B25', 'party2': 'S21', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 243.61249999991537, 'price': 97.00600000000003, 'party1': 'B25', 'party2': 'S02', 'qty': 1}
