B00, 0
B01, 0
B02, 0
B03, 12
B03, Blotteritem, {'type': 'Trade', 'time': 100.30769230769512, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 145.6153846153861, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 238.61538461537288, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 249.46153846152518, 'price': 100.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 277.5384615384522, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 289.9999999999935, 'price': 100, 'party1': 'S02', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 355.92307692308543, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 381.0000000000142, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 429.4615384615637, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 495.2307692308094, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 526.1538461538934, 'price': 100.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 560.846153846209, 'price': 100.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
B04, 11
B04, Blotteritem, {'type': 'Trade', 'time': 93.53846153846406, 'price': 111, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 115.9230769230804, 'price': 90, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 129.69230769231143, 'price': 109.99499999999998, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 190.07692307691823, 'price': 104, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 215.2307692307608, 'price': 110.0, 'party1': 'S03', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 293.1538461538404, 'price': 109.99699999999999, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 320.6923076923082, 'price': 109.98699999999994, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 360.6153846153942, 'price': 95.99699999999999, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 436.0769230769498, 'price': 108, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 488.4615384615771, 'price': 106.98699999999994, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 528.0769230769707, 'price': 108, 'party1': 'S02', 'party2': 'B04', 'qty': 1}
B05, 15
B05, Blotteritem, {'type': 'Trade', 'time': 32.46153846153838, 'price': 125, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 58.84615384615489, 'price': 123, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 76.07692307692486, 'price': 121, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 121.53846153846526, 'price': 94.99299999999997, 'party1': 'S00', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 178.99999999999673, 'price': 110, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 197.53846153845564, 'price': 104, 'party1': 'S02', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 226.69230769229765, 'price': 103, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 242.1538461538339, 'price': 92, 'party1': 'S02', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 331.8461538461569, 'price': 107, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 361.5384615384713, 'price': 95, 'party1': 'S02', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 373.2307692307817, 'price': 106, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 419.9230769231, 'price': 109.99499999999998, 'party1': 'S00', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 481.07692307696004, 'price': 106, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 513.7692307692752, 'price': 101, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 542.4615384615894, 'price': 90, 'party1': 'S02', 'party2': 'B05', 'qty': 1}
B06, 18
B06, Blotteritem, {'type': 'Trade', 'time': 17.538461538461494, 'price': 150.0, 'party1': 'B06', 'party2': 'S02', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 58.53846153846257, 'price': 123.9789999999999, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 86.46153846154068, 'price': 123.93899999999971, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 94.38461538461794, 'price': 123.92599999999965, 'party1': 'S03', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 144.84615384615543, 'price': 129.999, 'party1': 'S03', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 154.53846153846175, 'price': 113, 'party1': 'S02', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 205.0769230769161, 'price': 104.98099999999991, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 229.99999999998948, 'price': 130.0, 'party1': 'S04', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 245.769230769218, 'price': 101.99499999999998, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 299.7692307692265, 'price': 110.0, 'party1': 'S03', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 331.6923076923107, 'price': 107.99799999999999, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 340.76923076923583, 'price': 110.0, 'party1': 'S03', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 384.0000000000149, 'price': 129.96799999999985, 'party1': 'S03', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 407.4615384615587, 'price': 129.92599999999965, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 452.3846153846458, 'price': 108.999, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 460.38461538464765, 'price': 108, 'party1': 'S02', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 494.69230769234775, 'price': 109.99699999999999, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 540.3076923077427, 'price': 89.99799999999999, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
S00, 16
S00, Blotteritem, {'type': 'Trade', 'time': 58.53846153846257, 'price': 123.9789999999999, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 86.46153846154068, 'price': 123.93899999999971, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 121.53846153846526, 'price': 94.99299999999997, 'party1': 'S00', 'party2': 'B05', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 129.69230769231143, 'price': 109.99499999999998, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 205.0769230769161, 'price': 104.98099999999991, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 245.769230769218, 'price': 101.99499999999998, 'party1': 'S00', 'party2': 'B06', 'qty': 1}
