B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 1
S13, Blotteritem, {'type': 'Trade', 'time': 58.3818181818157, 'price': 112.01000000000005, 'party1': 'B31', 'party2': 'S13', 'qty': 1}
S13, Blotteritem, {'type': 'Trade', 'time': 114.14545454544493, 'price': 111, 'party1': 'S13', 'party2': 'B25', 'qty': 1}
S13, Blotteritem, {'type': 'Trade', 'time': 143.56363636363514, 'price': 111, 'party1': 'S13', 'party2': 'B22', 'qty': 1}
S14, 3
S14, Blotteritem, {'type': 'Trade', 'time': 23.2000000000003, 'price': 119.99699999999999, 'party1': 'S14', 'party2': 'B24', 'qty': 1}
S14, Blotteritem, {'type': 'Trade', 'time': 62.52727272726972, 'price': 116.0, 'party1': 'S14', 'party2': 'B27', 'qty': 1}
S14, Blotteritem, {'type': 'Trade', 'time': 117.5454545454445, 'price': 125.99599999999998, 'party1': 'S14', 'party2': 'B26', 'qty': 1}
S15, 0
S16, 1
S16, Blotteritem, {'type': 'Trade', 'time': 62.74545454545151, 'price': 126.0, 'party1': 'S16', 'party2': 'B32', 'qty': 1}
S17, 0
S18, 0
S19, 0
S20, 0
S21, 0
