B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B15, Blotteritem, {'type': 'Trade', 'time': 363.4216867471178, 'price': 90.99799999999999, 'party1': 'S16', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 397.4698795182176, 'price': 93.0, 'party1': 'S21', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 414.3855421688277, 'price': 90.99399999999997, 'party1': 'S15', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 439.31325301221256, 'price': 79, 'party1': 'S00', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 530.325301205025, 'price': 91, 'party1': 'S05', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 603.578313253251, 'price': 89.999, 'party1': 'S15', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 626.4698795183217, 'price': 88, 'party1': 'B15', 'party2': 'S12', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 636.2650602412177, 'price': 89, 'party1': 'B15', 'party2': 'S12', 'qty': 1}
B16, 17
B16, Blotteritem, {'type': 'Trade', 'time': 49.74698795180284, 'price': 73.12300000000059, 'party1': 'B16', 'party2': 'S04', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 90.09638554217423, 'price': 84.09500000000045, 'party1': 'B16', 'party2': 'S08', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 128.67469879520382, 'price': 93.01500000000007, 'party1': 'B16', 'party2': 'S17', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 135.3132530120743, 'price': 93.03000000000014, 'party1': 'B16', 'party2': 'S21', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 172.39759036148877, 'price': 88.00500000000002, 'party1': 'B16', 'party2': 'S02', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 226.46987951813986, 'price': 90.05600000000027, 'party1': 'B16', 'party2': 'S12', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 243.87951807236465, 'price': 85.03200000000015, 'party1': 'B16', 'party2': 'S10', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 272.6506024097271, 'price': 89.00200000000001, 'party1': 'B16', 'party2': 'S18', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 291.2891566266031, 'price': 88.00600000000003, 'party1': 'B16', 'party2': 'S12', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 379.409638554354, 'price': 90.07100000000034, 'party1': 'B16', 'party2': 'S14', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 398.6506024097844, 'price': 90.00300000000001, 'party1': 'B16', 'party2': 'S10', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 415.44578313268363, 'price': 90.00300000000001, 'party1': 'B16', 'party2': 'S13', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 466.06024096403195, 'price': 80.14200000000068, 'party1': 'B16', 'party2': 'S10', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 502.15662650621704, 'price': 89.11200000000053, 'party1': 'B16', 'party2': 'S04', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 543.5060240965972, 'price': 90.0200000000001, 'party1': 'B16', 'party2': 'S19', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 592.578313253246, 'price': 87.02800000000013, 'party1': 'B16', 'party2': 'S00', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 619.4698795183185, 'price': 89.01100000000005, 'party1': 'B16', 'party2': 'S01', 'qty': 1}
B17, 21
B17, Blotteritem, {'type': 'Trade', 'time': 25.48192771084226, 'price': 75.0, 'party1': 'S12', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 51.37349397589901, 'price': 73.99599999999998, 'party1': 'S03', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 73.39759036144375, 'price': 84.99399999999997, 'party1': 'S16', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 108.2289156626644, 'price': 84.99699999999999, 'party1': 'S15', 'party2': 'B17', 'qty': 1}
B17, Blotteritem, {'type': 'Trade', 'time': 163.19277108437615, 'price': 93.99499999999998, 'party1': 'S09', 'party2': 'B17', 'qty': 1}
