B00, 0
S01, Blotteritem, {'type': 'Trade', 'time': 530.4545454544852, 'price': 81.01500000000007, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 573.6363636363182, 'price': 80.01700000000008, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 592.0909090908699, 'price': 79, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
S02, 5
S02, Blotteritem, {'type': 'Trade', 'time': 181.4545454545496, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 231.5454545454601, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 377.9090909090625, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 433.54545454541034, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 488.2727272726675, 'price': 83, 'party1': 'S02', 'party2': 'B02', 'qty': 1}
S03, 0
S04, 0
S05, 0
S06, 0
