B00, 0
B01, 0
B02, 0
B03, 1
B10, Blotteritem, {'type': 'Trade', 'time': 18.19047619047613, 'price': 75, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 56.38095238095764, 'price': 81, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 84.34920634920866, 'price': 80, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 110.87301587301215, 'price': 81, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 143.85714285713163, 'price': 79, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 228.82539682536628, 'price': 81, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 250.0634920634567, 'price': 81, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 286.4444444444008, 'price': 81, 'party1': 'B10', 'party2': 'S06', 'qty': 1}
B11, 9
B11, Blotteritem, {'type': 'Trade', 'time': 9.68253968253965, 'price': 98.0, 'party1': 'S22', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 57.52380952381503, 'price': 82.99799999999999, 'party1': 'S04', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 75.12698412698853, 'price': 82.98499999999993, 'party1': 'S13', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 94.30158730158735, 'price': 82.98999999999995, 'party1': 'S14', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 147.23809523808325, 'price': 78.99599999999998, 'party1': 'S04', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 179.269841269822, 'price': 77.99499999999998, 'party1': 'S00', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 195.38095238092944, 'price': 78.0, 'party1': 'S13', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 230.7777777777468, 'price': 81.98599999999993, 'party1': 'S14', 'party2': 'B11', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 241.73015873012525, 'price': 81.96299999999982, 'party1': 'S00', 'party2': 'B11', 'qty': 1}
B12, 5
B12, Blotteritem, {'type': 'Trade', 'time': 28.92063492063482, 'price': 75.97699999999989, 'party1': 'S09', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 31.412698412698305, 'price': 75.97399999999988, 'party1': 'S03', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 150.44444444443172, 'price': 77, 'party1': 'B12', 'party2': 'S06', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 188.63492063489923, 'price': 76, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 229.6190476190169, 'price': 81, 'party1': 'B12', 'party2': 'S12', 'qty': 1}
B13, 6
B13, Blotteritem, {'type': 'Trade', 'time': 26.777777777777686, 'price': 75.97699999999989, 'party1': 'S04', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 46.841269841273, 'price': 76, 'party1': 'S12', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 103.6825396825376, 'price': 81, 'party1': 'B13', 'party2': 'S10', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 130.15873015872205, 'price': 80, 'party1': 'B13', 'party2': 'S07', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 183.63492063490037, 'price': 76, 'party1': 'B13', 'party2': 'S06', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 221.7460317460028, 'price': 81, 'party1': 'B13', 'party2': 'S05', 'qty': 1}
B14, 8
B14, Blotteritem, {'type': 'Trade', 'time': 54.55555555556041, 'price': 81.001, 'party1': 'B14', 'party2': 'S11', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 96.55555555555509, 'price': 80.00200000000001, 'party1': 'B14', 'party2': 'S11', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 110.0317460317425, 'price': 81.001, 'party1': 'B14', 'party2': 'S06', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 127.74603174602419, 'price': 80.001, 'party1': 'B14', 'party2': 'S05', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 173.49206349204553, 'price': 77.00200000000001, 'party1': 'B14', 'party2': 'S05', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 205.158730158705, 'price': 78.00500000000002, 'party1': 'B14', 'party2': 'S05', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 243.984126984093, 'price': 80.00300000000001, 'party1': 'B14', 'party2': 'S08', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 272.460317460277, 'price': 81.01600000000008, 'party1': 'B14', 'party2': 'S01', 'qty': 1}
B15, 9
B15, Blotteritem, {'type': 'Trade', 'time': 6.19047619047617, 'price': 137.99299999999997, 'party1': 'S13', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 59.57142857143453, 'price': 82.99499999999998, 'party1': 'S09', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 89.22222222222342, 'price': 80.98599999999993, 'party1': 'S04', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 111.41269841269457, 'price': 82.99299999999997, 'party1': 'S14', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 140.28571428570388, 'price': 79.99399999999997, 'party1': 'S00', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 183.99999999997965, 'price': 77.98899999999995, 'party1': 'S03', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 200.2380952380712, 'price': 80.99799999999999, 'party1': 'S00', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 240.3650793650462, 'price': 81.96399999999983, 'party1': 'S09', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 242.92063492060117, 'price': 81, 'party1': 'S12', 'party2': 'B15', 'qty': 1}
B16, 9
B16, Blotteritem, {'type': 'Trade', 'time': 30.22222222222212, 'price': 75.97499999999988, 'party1': 'S00', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 46.126984126987125, 'price': 75.99099999999996, 'party1': 'S00', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 75.90476190476613, 'price': 82.98599999999993, 'party1': 'S00', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 97.57142857142787, 'price': 82.98999999999995, 'party1': 'S00', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 126.8571428571355, 'price': 81.95999999999981, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 184.03174603172567, 'price': 77.99199999999996, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 212.50793650790968, 'price': 82.99599999999998, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 214.68253968251236, 'price': 82.99799999999999, 'party1': 'S13', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 259.82539682535923, 'price': 82.97399999999988, 'party1': 'S04', 'party2': 'B16', 'qty': 1}
S00, 9
S00, Blotteritem, {'type': 'Trade', 'time': 30.22222222222212, 'price': 75.97499999999988, 'party1': 'S00', 'party2': 'B16', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 46.126984126987125, 'price': 75.99099999999996, 'party1': 'S00', 'party2': 'B16', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 75.90476190476613, 'price': 82.98599999999993, 'party1': 'S00', 'party2': 'B16', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 97.57142857142787, 'price': 82.98999999999995, 'party1': 'S00', 'party2': 'B16', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 140.28571428570388, 'price': 79.99399999999997, 'party1': 'S00', 'party2': 'B15', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 179.269841269822, 'price': 77.99499999999998, 'party1': 'S00', 'party2': 'B11', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 200.2380952380712, 'price': 80.99799999999999, 'party1': 'S00', 'party2': 'B15', 'qty': 1}
S00, Blotteritem, {'type': 'Trade', 'time': 241.73015873012525, 'price': 81.96299999999982, 'party1': 'S00', 'party2': 'B11', 'qty': 1}
