B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B21, Blotteritem, {'type': 'Trade', 'time': 532.2624999997449, 'price': 100.99699999999999, 'party1': 'S03', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 550.2999999998106, 'price': 97.99599999999998, 'party1': 'S03', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 600.1124999999918, 'price': 99.99499999999998, 'party1': 'S06', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 623.7125000000776, 'price': 98.999, 'party1': 'S06', 'party2': 'B21', 'qty': 1}
B22, 19
B22, Blotteritem, {'type': 'Trade', 'time': 16.4499999999996, 'price': 106.0, 'party1': 'B22', 'party2': 'S08', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 53.31250000000356, 'price': 99.00600000000003, 'party1': 'B22', 'party2': 'S01', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 85.1875000000108, 'price': 106.0, 'party1': 'B22', 'party2': 'S00', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 95.87500000001323, 'price': 100.00700000000003, 'party1': 'B22', 'party2': 'S05', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 151.46249999999918, 'price': 96.00300000000001, 'party1': 'B22', 'party2': 'S15', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 183.07499999997043, 'price': 101.00200000000001, 'party1': 'B22', 'party2': 'S09', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 227.83749999992972, 'price': 95.00500000000002, 'party1': 'B22', 'party2': 'S07', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 254.37499999990558, 'price': 96.00500000000002, 'party1': 'B22', 'party2': 'S00', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 295.41249999986826, 'price': 103.00200000000001, 'party1': 'B22', 'party2': 'S21', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 314.97499999985047, 'price': 100.00400000000002, 'party1': 'B22', 'party2': 'S00', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 353.27499999981563, 'price': 94.01200000000006, 'party1': 'B22', 'party2': 'S15', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 364.7624999998052, 'price': 94.00200000000001, 'party1': 'B22', 'party2': 'S00', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 418.6249999997562, 'price': 100.001, 'party1': 'B22', 'party2': 'S12', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 447.81249999972965, 'price': 102.00200000000001, 'party1': 'B22', 'party2': 'S14', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 485.887499999695, 'price': 101.001, 'party1': 'B22', 'party2': 'S14', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 497.71249999968427, 'price': 100.00300000000001, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 525.3124999997196, 'price': 102.00200000000001, 'party1': 'B22', 'party2': 'S20', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 548.1624999998028, 'price': 96.00400000000002, 'party1': 'B22', 'party2': 'S16', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 597.7999999999834, 'price': 99.01200000000006, 'party1': 'B22', 'party2': 'S12', 'qty': 1}
B23, 21
B23, Blotteritem, {'type': 'Trade', 'time': 12.57499999999982, 'price': 108.0, 'party1': 'B23', 'party2': 'S16', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 49.200000000002625, 'price': 100, 'party1': 'S12', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 84.26250000001059, 'price': 108.0, 'party1': 'B23', 'party2': 'S16', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 119.0375000000185, 'price': 96, 'party1': 'S08', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 127.63750000002045, 'price': 101, 'party1': 'S20', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 174.44999999997827, 'price': 102.999, 'party1': 'S19', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 193.26249999996116, 'price': 103, 'party1': 'S11', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 220.98749999993595, 'price': 103, 'party1': 'S08', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 256.8999999999033, 'price': 98, 'party1': 'S08', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 297.82499999986607, 'price': 105, 'party1': 'S12', 'party2': 'B23', 'qty': 1}
