Trd, 000009.909, 115
Trd, 000030.182, 85.99499999999998
Trd, 000046.909, 86
Trd, 000049.636, 107.999
Trd, 000061.273, 83.0
Trd, 000085.000, 92
Trd, 000140.818, 90.98299999999992
Trd, 000143.182, 90
Trd, 000148.727, 83.0
Trd, 000187.182, 85
Trd, 000193.000, 84.99699999999999
Trd, 000197.636, 84
Trd, 000232.545, 99.99199999999996
Trd, 000262.909, 90
Trd, 000294.545, 84
Trd, 000309.273, 83.98899999999995
Trd, 000310.091, 83.0
Trd, 000316.636, 100
Trd, 000345.909, 87
Trd, 000357.091, 83.0
Trd, 000358.727, 83.999
Trd, 000363.636, 83
Trd, 000384.909, 83.0
Trd, 000393.455, 99.99399999999997
Trd, 000402.182, 91
Trd, 000425.455, 83.0
Trd, 000428.182, 84.99599999999998
Trd, 000451.909, 84
Trd, 000452.545, 100
Trd, 000486.182, 83.99199999999996
Trd, 000492.818, 83.0
Trd, 000495.000, 83.99099999999996
Trd, 000535.000, 83.99199999999996
Trd, 000535.364, 83.0
Trd, 000552.273, 87
Trd, 000575.273, 89
Trd, 000585.273, 99.99299999999997
Trd, 000590.000, 83.0
